id	coorx	coory
1	2630.01	721.91
2	2909.05	717.07
3	726.05	1342.89
4	962.92	1100.95
5	3592.02	402.08
6	3878.89	712
7	3706.07	403.93
8	3457.91	706.93
9	3730.04	1350.04
10	3868.98	1346.12
11	3845.94	1020.07
12	3736.03	730.9
13	3827.04	564.99
14	3553.07	829.06
15	3689.94	571.91
16	3815.98	471.9
17	3680.96	885.05
18	3794.09	1174.92
19	2295.9	747.95
20	1538.97	793.11
21	3548.93	993.11
22	911.08	559
23	1194.04	956.94
24	3813.91	827.9
25	1193.11	829.06
26	3551.92	691.95
27	3545.01	573.98
28	968.92	508.08
29	796.1	667.99
30	3909.07	1200.95
31	2482.08	444.02
32	812.92	514.07
33	2839	997.03
34	1246.11	888.96
35	949.1	750.02
36	764.07	806.93
37	3054.91	1333.91
38	714.99	1029.98
39	1856.95	732.97
40	2503.97	1071.92
41	2945	1339.9
42	2639.92	879.98
43	2501.9	882.05
44	3751.01	1071
45	883.89	953.94
46	3580.96	1285.98
47	3618.97	1129.06
48	2056.04	732.05
49	1694.97	732.05
50	2171.94	444.94
51	843.11	1049.11
52	1550.03	953.94
53	1226.99	694.03
54	909.01	1283.91
55	1088.96	1147.04
56	1874	897.95
57	3095	967.08
58	1100.02	779.05
59	770.06	1129.99
60	1730.91	1155.1
61	3092	812
62	3100.07	876.98
63	808.08	1242.89
64	1698.89	447.94
65	912	885.05
66	988.04	1258.1
67	1102.1	588.03
68	1614.09	1306.03
69	820.99	838.04
70	1011.08	1332.99
71	1103.94	962.93
72	2930.02	1186.9
73	3100.99	899.1
74	2179.08	732.97
75	1053.94	456.93
76	1026.06	691.95
